found_taxa,common_name,rank,motu,asv,found_taxa_asv,common_name_asv,rank_asv,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only
Cymatogaster aggregata,Shiner perch,species,motu1,ASV366,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV392,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV428,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV435,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV436,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV437,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV447,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV453,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV456,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV466,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV468,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV517,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV526,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV535,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV546,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV567,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV582,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV586,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV588,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV595,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV599,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV619,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV650,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV656,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV662,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV679,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV681,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV712,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV715,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV742,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV754,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV760,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV762,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV793,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV843,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV873,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV876,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV886,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV894,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV896,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV897,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV919,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV925,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV942,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV972,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV993,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1010,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1036,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1037,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1058,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1081,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1082,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1092,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1103,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1116,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1120,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1147,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1168,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1202,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1212,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1215,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1218,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1231,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1258,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1279,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1304,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1307,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1357,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1374,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1387,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1398,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1399,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1403,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1406,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1428,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1470,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1492,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1501,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1504,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1534,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1548,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1558,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1567,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1586,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1591,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1624,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1633,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1644,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1654,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1662,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1670,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1673,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1684,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1695,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1705,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1714,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1730,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1776,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1807,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1848,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1871,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1877,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1937,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1985,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV1994,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2020,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2024,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2031,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2050,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2054,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2062,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2126,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2156,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2175,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2202,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2219,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2222,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
Cymatogaster aggregata,Shiner perch,species,motu1,ASV2225,Cymatogaster aggregata,Shiner perch,species,99.405,1.2099999999999999e-82,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,0
