"","found_taxa","hakai_all","mifishlist","ednaasv","npfish"
"1381","Blennophis anguillaris",0,1,0,0
"1382","Blepsias bilobus",0,1,0,1
"1383","Blicca bjoerkna",0,1,0,0
"1384","Bodianus anthioides",0,1,0,0
"1385","Bodianus axillaris",0,1,0,0
"1386","Bodianus bilunulatus",0,1,0,0
"1387","Bodianus bimaculatus",0,1,0,0
"1388","Bodianus busellatus",0,1,0,0
"1389","Bodianus diana",0,1,0,0
"1390","Bodianus dictynna",0,1,0,0
"1391","Bodianus diplotaenia",0,1,0,0
"1392","Bodianus frenchii",0,1,0,0
"1393","Bodianus izuensis",0,1,0,0
"1394","Bodianus leucosticticus",0,1,0,0
"1395","Bodianus loxozonus",0,1,0,0
"1396","Bodianus masudai",0,1,0,0
"1397","Bodianus mesothorax",0,1,0,0
"1398","Bodianus oxycephalus",0,1,0,0
"1399","Bodianus perditio",0,1,0,0
"1400","Bodianus pulcher",0,1,0,0
"1401","Bodianus rubrisos",0,1,0,0
"1402","Bodianus rufus",0,1,0,0
"1403","Bodianus tanyokidus",0,1,0,0
"1404","Bodianus vulpinus",0,1,0,0
"1405","Boesemania microlepis",0,1,0,0
"1406","Bolbometopon muricatum",0,1,0,0
"1407","Boleophthalmus boddarti",0,1,0,0
"1408","Boleophthalmus pectinirostris",0,1,0,0
"1409","Bolinichthys distofax",0,1,0,0
"1410","Bolinichthys indicus",0,1,0,0
"1411","Bolinichthys longipes",0,1,0,0
"1412","Bolinichthys nikolayi",0,1,0,0
"1413","Bolinichthys photothorax",0,1,0,0
"1414","Bolinichthys pyrsobolus",0,1,0,0
"1415","Bollmannia boqueronensis",0,1,0,0
"1416","Bollmannia chlamydes",0,1,0,0
"1417","Bollmannia communis",0,1,0,0
"1418","Bollmannia macropoma",0,1,0,0
"1419","Bollmannia marginalis",0,1,0,0
"1420","Boops boops",0,1,0,0
"1421","Boraras brigittae",0,1,0,0
"1422","Boraras maculatus",0,1,0,0
"1423","Boraras urophthalmoides",0,1,0,0
"1424","Boreogadus saida",0,1,0,0
"1425","Borostomias antarcticus",0,1,0,0
"1426","Borostomias elucens",0,1,0,0
"1427","Borostomias pacificus",0,1,0,0
"1428","Borostomias panamensis",0,1,0,0
"1429","Bostockia porosa",0,1,0,0
"1430","Bostrychus sinensis",0,1,0,0
"1431","Bostrychus zonatus",0,1,0,0
"1432","Bothragonus occidentalis",0,1,0,0
"1433","Bothrocara brunneum",0,1,0,1
"1434","Bothrocara hollandi",0,1,0,0
"1435","Bothrocara molle",0,1,0,1
"1436","Bothrocara tanakae",0,1,0,0
"1437","Bothrocara zestum",0,1,0,0
"1438","Bothrocarina microcephala",0,1,0,0
"1439","Bothrocarina nigrocaudata",0,1,0,0
"1440","Bothus lunatus",0,1,0,0
"1441","Bothus mancus",0,1,0,0
"1442","Bothus myriaster",0,1,0,0
"1443","Bothus ocellatus",0,1,0,0
"1444","Bothus pantherinus",0,1,0,0
"1445","Bothus podas",0,1,0,0
"1446","Botia almorhae",0,1,0,0
"1447","Botia dario",0,1,0,0
"1448","Botia histrionica",0,1,0,0
"1449","Botia kubotai",0,1,0,0
"1450","Botia lohachata",0,1,0,0
"1451","Botia rostrata",0,1,0,0
"1452","Botia striata",0,1,0,0
"1453","Boulengerella cuvieri",0,1,0,0
"1454","Boulengerella maculata",0,1,0,0
"1455","Boulengerochromis microlepis",0,1,0,0
"1456","Boulengeromyrus knoepffleri",0,1,0,0
"1457","Bovichtus argentinus",0,1,0,0
"1458","Bovichtus diacanthus",0,1,0,0
"1459","Bovichtus variegatus",0,1,0,0
"1460","Bovitrigla acanthomoplate",0,1,0,0
"1461","Brachaelurus waddi",0,1,0,0
"1462","Brachaluteres taylori",0,1,0,0
"1463","Brachaluteres ulvarum",0,1,0,0
"1464","Brachirus annularis",0,1,0,0
"1465","Brachirus harmandi",0,1,0,0
"1466","Brachirus orientalis",0,1,0,0
"1467","Brachirus siamensis",0,1,0,0
"1468","Brachygalaxias bullocki",0,1,0,0
"1469","Brachygenys californiensis",0,1,0,0
"1470","Brachygobius doriae",0,1,0,0
"1471","Brachygobius kabiliensis",0,1,0,0
"1472","Brachygobius nunus",0,1,0,0
"1473","Brachygobius xanthomelas",0,1,0,0
"1474","Brachyhypopomus pinnicaudatus",0,1,0,0
"1475","Brachymystax lenok",0,1,0,0
"1476","Brachyopsis segaliensis",0,1,0,0
"1477","Brachyplatystoma capapretum",0,1,0,0
"1478","Brachyplatystoma filamentosum",0,1,0,0
"1479","Brachyplatystoma juruense",0,1,0,0
"1480","Brachyplatystoma platynema",0,1,0,0
"1481","Brachyplatystoma rousseauxii",0,1,0,0
"1482","Brachyplatystoma tigrinum",0,1,0,0
"1483","Brachyplatystoma vaillantii",0,1,0,0
"1484","Brachypterois serrulifer",0,1,0,0
"1485","Brachyrhaphis hartwegi",0,1,0,0
"1486","Brachyrhaphis rhabdophora",0,1,0,0
"1487","Brachyrhaphis terrabensis",0,1,0,0
"1488","Brachysomophis cirrocheilos",0,1,0,0
"1489","Brachysomophis henshawi",0,1,0,0
"1490","Brachysomophis porphyreus",0,1,0,0
"1491","Brama brama",0,1,0,0
"1492","Brama dussumieri",0,1,0,0
"1493","Brama japonica",0,1,0,0
"1494","Branchiostegus albus",0,1,0,0
"1495","Branchiostegus auratus",0,1,0,0
"1496","Branchiostegus japonicus",0,1,0,0
"1497","Branchiostegus okinawaensis",0,1,0,0
"1498","Bregmaceros atlanticus",0,1,0,0
"1499","Bregmaceros cantori",0,1,0,0
"1500","Bregmaceros japonicus",0,1,0,0
"1501","Bregmaceros nectabanus",0,1,0,0
"1502","Bregmaceros neonectabanus",0,1,0,0
"1503","Brevibora dorsiocellata",0,1,0,0
"1504","Brevimyrus niger",0,1,0,0
"1505","Brevitrygon imbricata",0,1,0,0
"1506","Brevitrygon walga",0,1,0,0
"1507","Brevoortia gunteri",0,1,0,0
"1508","Brevoortia patronus",0,1,0,0
"1509","Brevoortia tyrannus",0,1,0,0
"1510","Brienomyrus brachyistius",0,1,0,0
"1511","Brittanichthys axelrodi",0,1,0,0
"1512","Brochiloricaria macrodon",0,1,0,0
"1513","Brosme brosme",0,1,0,0
"1514","Brosmophyciops pautzkei",0,1,0,0
"1515","Brosmophycis marginata",0,1,1,1
"1516","Brotula clarkae",0,1,0,0
"1517","Brotula multibarbata",0,1,0,0
"1518","Brotulotaenia crassa",0,1,0,0
"1519","Brustiarius nox",0,1,0,0
"1520","Brustiarius solidus",0,1,0,0
"1521","Bryaninops erythrops",0,1,0,0
"1522","Bryaninops natans",0,1,0,0
"1523","Bryaninops ridens",0,1,0,0
"1524","Bryaninops tigris",0,1,0,0
"1525","Bryaninops yongei",0,1,0,0
"1526","Brycinus macrolepidotus",0,1,0,0
"1527","Brycinus opisthotaenia",0,1,0,0
"1528","Brycinus schoutedeni",0,1,0,0
"1529","Brycon alburnus",0,1,0,0
"1530","Brycon atrocaudatus",0,1,0,0
"1531","Brycon devillei",0,1,0,0
"1532","Brycon ferox",0,1,0,0
"1533","Brycon fowleri",0,1,0,0
"1534","Brycon henni",0,1,0,0
"1535","Brycon melanopterus",0,1,0,0
"1536","Brycon moorei",0,1,0,0
"1537","Brycon oligolepis",0,1,0,0
"1538","Brycon opalinus",0,1,0,0
"1539","Brycon orthotaenia",0,1,0,0
"1540","Brycon rubricauda",0,1,0,0
"1541","Bryconadenos tanaothoros",0,1,0,0
"1542","Bryconaethiops macrops",0,1,0,0
"1543","Bryconalestes longipinnis",0,1,0,0
"1544","Bryconamericus alpha",0,1,0,0
"1545","Bryconamericus caucanus",0,1,0,0
"1546","Bryconamericus cinarucoense",0,1,0,0
"1547","Bryconamericus cristiani",0,1,0,0
"1548","Bryconamericus dahli",0,1,0,0
"1549","Bryconamericus deuterodonoides",0,1,0,0
"1550","Bryconamericus exodon",0,1,0,0
"1551","Bryconamericus foncensis",0,1,0,0
"1552","Bryconamericus iheringii",0,1,0,0
"1553","Bryconamericus ikaa",0,1,0,0
"1554","Bryconamericus loisae",0,1,0,0
"1555","Bryconamericus microcephalus",0,1,0,0
"1556","Bryconamericus pachacuti",0,1,0,0
"1557","Bryconamericus patriciae",0,1,0,0
"1558","Bryconamericus pectinatus",0,1,0,0
"1559","Bryconamericus plutarcoi",0,1,0,0
"1560","Bryconamericus rubropictus",0,1,0,0
"1561","Bryconamericus tolimae",0,1,0,0
"1562","Bryconamericus uporas",0,1,0,0
"1563","Bryconops affinis",0,1,0,0
"1564","Bryconops caudomaculatus",0,1,0,0
"1565","Bryconops giacopinii",0,1,0,0
"1566","Bryconops inpai",0,1,0,0
"1567","Bryozoichthys lysimus",0,1,0,0
"1568","Bryx dunckeri",0,1,0,0
"1569","Bryx randalli",0,1,0,0
"1570","Buccochromis atritaeniatus",0,1,0,0
"1571","Buccochromis heterotaenia",0,1,0,0
"1572","Buccochromis lepturus",0,1,0,0
"1573","Buccochromis nototaenia",0,1,0,0
"1574","Buccochromis rhoadesii",0,1,0,0
"1575","Buenia affinis",0,1,0,0
"1576","Bufoceratias thele",0,1,0,0
"1577","Buglossidium luteum",0,1,0,0
"1578","Bulbonaricus brucei",0,1,0,0
"1579","Bullockia maldonadoi",0,1,0,0
"1580","Bunaka gyrinoides",0,1,0,0
"1581","Butis amboinensis",0,1,0,0
"1582","Butis butis",0,1,0,0
"1583","Butis gymnopomus",0,1,0,0
"1584","Butis humeralis",0,1,0,0
"1585","Butis koilomatodon",0,1,0,0
"1586","Butis melanostigma",0,1,0,0
"1587","Bythites fuscus",0,1,0,0
"1588","Cabdio morar",0,1,0,0
"1589","Cabillus lacertops",0,1,0,0
"1590","Cabillus tongarevae",0,1,0,0
"1591","Caesio caerulaurea",0,1,0,0
"1592","Caesio cuning",0,1,0,0
"1593","Caesio lunaris",0,1,0,0
"1594","Caesio teres",0,1,0,0
"1595","Caesio varilineata",0,1,0,0
"1596","Caesio xanthonota",0,1,0,0
"1597","Caesioperca lepidoptera",0,1,0,0
"1598","Cairnsichthys rhombosomoides",0,1,0,0
"1599","Calamus brachysomus",0,1,0,0
"1600","Callanthias japonicus",0,1,0,0
"1601","Callechelys catostoma",0,1,0,0
"1602","Callechelys marmorata",0,1,0,0
"1603","Callichthys callichthys",0,1,0,0
"1604","Callichthys fabricioi",0,1,0,0
"1605","Callichthys oibaensis",0,1,0,0
"1606","Callionymus bairdi",0,1,0,0
"1607","Callionymus belcheri",0,1,0,0
"1608","Callionymus beniteguri",0,1,0,0
"1609","Callionymus curvicornis",0,1,0,0
"1610","Callionymus enneactis",0,1,0,0
"1611","Callionymus formosanus",0,1,0,0
"1612","Callionymus guentheri",0,1,0,0
"1613","Callionymus izuensis",0,1,0,0
"1614","Callionymus lunatus",0,1,0,0
"1615","Callionymus lyra",0,1,0,0
"1616","Callionymus maculatus",0,1,0,0
"1617","Callionymus marquesensis",0,1,0,0
"1618","Callionymus octostigmatus",0,1,0,0
"1619","Callionymus planus",0,1,0,0
"1620","Callionymus pleurostictus",0,1,0,0
"1621","Callionymus reticulatus",0,1,0,0
"1622","Callionymus russelli",0,1,0,0
"1623","Callionymus simplicicornis",0,1,0,0
"1624","Callionymus sokonumeri",0,1,0,0
"1625","Callionymus valenciennei",0,1,0,0
"1626","Callogobius hasseltii",0,1,0,0
"1627","Callogobius maculipinnis",0,1,0,0
"1628","Callogobius okinawae",0,1,0,0
"1629","Callogobius sclateri",0,1,0,0
"1630","Callogobius snelliusi",0,1,0,0
"1631","Callogobius tanegasimae",0,1,0,0
"1632","Callopanchax huwaldi",0,1,0,0
"1633","Callopanchax occidentalis",0,1,0,0
"1634","Callopanchax toddi",0,1,0,0
"1635","Calloplesiops altivelis",0,1,0,0
"1636","Callorhinchus milii",0,1,0,0
"1637","Calophysus macropterus",0,1,0,0
"1638","Calotomus carolinus",0,1,0,0
"1639","Calotomus japonicus",0,1,0,0
"1640","Calotomus spinidens",0,1,0,0
"1641","Calotomus viridescens",0,1,0,0
"1642","Calumia godeffroyi",0,1,0,0
"1643","Calumia profunda",0,1,0,0
"1644","Cambeva pascuali",0,1,0,0
"1645","Campellolebias chrysolineatus",0,1,0,0
"1646","Campellolebias dorsimaculatus",0,1,0,0
"1647","Campostoma anomalum",0,1,0,0
"1648","Campylomormyrus numenius",0,1,0,0
"1649","Campylomormyrus tamandua",0,1,0,0
"1650","Cancelloxus longior",0,1,0,0
"1651","Candidia barbata",0,1,0,0
"1652","Candidia pingtungensis",0,1,0,0
"1653","Cantherhines dumerilii",0,1,0,0
"1654","Cantherhines fronticinctus",0,1,0,0
"1655","Cantherhines longicaudus",0,1,0,0
"1656","Cantherhines pardalis",0,1,0,0
"1657","Cantherhines sandwichiensis",0,1,0,0
"1658","Canthidermis maculata",0,1,0,0
"1659","Canthidermis sufflamen",0,1,0,0
"1660","Canthigaster amboinensis",0,1,0,0
"1661","Canthigaster axiologus",0,1,0,0
"1662","Canthigaster bennetti",0,1,0,0
"1663","Canthigaster callisterna",0,1,0,0
"1664","Canthigaster epilampra",0,1,0,0
"1665","Canthigaster janthinoptera",0,1,0,0
"1666","Canthigaster papua",0,1,0,0
"1667","Canthigaster rivulata",0,1,0,0
"1668","Canthigaster solandri",0,1,0,0
"1669","Canthigaster valentini",0,1,0,0
"1670","Canthophrys gongota",0,1,0,0
"1671","Capoeta damascina",0,1,0,0
"1672","Capoeta umbla",0,1,0,0
"1673","Caprichromis liemi",0,1,0,0
"1674","Caprodon schlegelii",0,1,0,0
"1675","Capromimus abbreviatus",0,1,0,0
"1676","Capros aper",0,1,0,0
"1677","Caquetaia kraussii",0,1,0,0
"1678","Caquetaia spectabilis",0,1,0,0
"1679","Caracanthus maculatus",0,1,0,0
"1680","Caracanthus unipinna",0,1,0,0
"1681","Caragobius urolepis",0,1,0,0
"1682","Carangoides ciliarius",0,1,0,0
"1683","Carangoides dinema",0,1,0,0
"1684","Carangoides equula",0,1,0,0
"1685","Carangoides humerosus",0,1,0,0
"1686","Carangoides malabaricus",0,1,0,0
"1687","Carangoides oblongus",0,1,0,0
"1688","Carangoides praeustus",0,1,0,0
"1689","Carangoides talamparoides",0,1,0,0
"1690","Caranx bartholomaei",0,1,0,0
"1691","Caranx bucculentus",0,1,0,0
"1692","Caranx caninus",0,1,0,0
"1693","Caranx crysos",0,1,0,0
"1694","Caranx heberi",0,1,0,0
"1695","Caranx hippos",0,1,0,0
"1696","Caranx ignobilis",0,1,0,0
"1697","Caranx latus",0,1,0,0
"1698","Caranx lugubris",0,1,0,0
"1699","Caranx melampygus",0,1,0,0
"1700","Caranx papuensis",0,1,0,0
"1701","Caranx ruber",0,1,0,0
"1702","Caranx sexfasciatus",0,1,0,0
"1703","Caranx tille",0,1,0,0
"1704","Caranx vinctus",0,1,0,0
"1705","Carapus bermudensis",0,1,0,0
"1706","Carapus mourlani",0,1,0,0
"1707","Carasobarbus canis",0,1,0,0
"1708","Carassioides acuminatus",0,1,0,0
"1709","Carassius auratus",0,1,0,0
"1710","Carassius carassius",0,1,0,0
"1711","Carassius cuvieri",0,1,0,0
"1712","Carassius gibelio",0,1,0,0
"1713","Carassius langsdorfii",0,1,0,0
"1714","Carcharhinus acronotus",0,1,0,0
"1715","Carcharhinus albimarginatus",0,1,0,0
"1716","Carcharhinus altimus",0,1,0,0
"1717","Carcharhinus amblyrhynchos",0,1,0,0
"1718","Carcharhinus brachyurus",0,1,0,0
"1719","Carcharhinus brevipinna",0,1,0,0
"1720","Carcharhinus dussumieri",0,1,0,0
"1721","Carcharhinus falciformis",0,1,0,0
"1722","Carcharhinus galapagensis",0,1,0,0
"1723","Carcharhinus isodon",0,1,0,0
"1724","Carcharhinus leiodon",0,1,0,0
"1725","Carcharhinus leucas",0,1,0,0
"1726","Carcharhinus limbatus",0,1,0,0
"1727","Carcharhinus longimanus",0,1,0,0
"1728","Carcharhinus macloti",0,1,0,0
"1729","Carcharhinus melanopterus",0,1,0,0
"1730","Carcharhinus obscurus",0,1,0,0
"1731","Carcharhinus perezii",0,1,0,0
"1732","Carcharhinus plumbeus",0,1,0,0
"1733","Carcharhinus porosus",0,1,0,0
"1734","Carcharhinus signatus",0,1,0,0
"1735","Carcharhinus sorrah",0,1,0,0
"1736","Carcharhinus tjutjot",0,1,0,0
"1737","Carcharias taurus",0,1,0,0
"1738","Carcharodon carcharias",0,1,0,1
"1739","Careproctus colletti",0,1,0,1
"1740","Careproctus comus",0,1,0,0
"1741","Careproctus cyclocephalus",0,1,0,0
"1742","Careproctus cypselurus",0,1,0,1
"1743","Careproctus faunus",0,1,0,0
"1744","Careproctus kidoi",0,1,0,0
"1745","Careproctus macrodiscus",0,1,0,0
"1746","Careproctus marginatus",0,1,0,0
"1747","Careproctus mederi",0,1,0,0
"1748","Careproctus melanurus",0,1,0,1
"1749","Careproctus rastrinus",0,1,0,0
"1750","Careproctus reinhardti",0,1,0,0
"1751","Careproctus roseofuscus",0,1,0,0
"1752","Careproctus simus",0,1,0,0
"1753","Caristius fasciatus",0,1,0,0
"1754","Caristius macropus",0,1,0,0
"1755","Carlana eigenmanni",0,1,0,0
"1756","Carlarius heudelotii",0,1,0,0
"1757","Carlarius latiscutatus",0,1,0,0
"1758","Carlarius parkii",0,1,0,0
"1759","Carlhubbsia stuarti",0,1,0,0
"1760","Carnegiella strigata",0,1,0,0
"1761","Carpiodes carpio",0,1,0,0
"1762","Carpiodes cyprinus",0,1,0,0
"1763","Cataetyx rubrirostris",0,1,0,0
"1764","Catathyridium jenynsii",0,1,0,0
"1765","Cathorops aguadulce",0,1,0,0
"1766","Cathorops arenatus",0,1,0,0
"1767","Cathorops dasycephalus",0,1,0,0
"1768","Cathorops festae",0,1,0,0
"1769","Cathorops fuerthii",0,1,0,0
"1770","Cathorops higuchii",0,1,0,0
"1771","Cathorops hypophthalmus",0,1,0,0
"1772","Cathorops manglarensis",0,1,0,0
"1773","Cathorops mapale",0,1,0,0
"1774","Cathorops multiradiatus",0,1,0,0
"1775","Cathorops spixii",0,1,0,0
"1776","Cathorops steindachneri",0,1,0,0
"1777","Cathorops taylori",0,1,0,0
"1778","Cathorops tuyra",0,1,0,0
"1779","Cathorops wayuu",0,1,0,0
"1780","Catoprion mento",0,1,0,0
"1781","Catostomus bondi",0,1,0,0
"1782","Catostomus catostomus",0,1,0,1
"1783","Catostomus clarkii",0,1,0,0
"1784","Catostomus commersonii",0,1,0,0
"1785","Catostomus insignis",0,1,0,0
"1786","Catostomus macrocheilus",0,1,0,0
"1787","Catostomus occidentalis",0,1,0,0
"1788","Caulolatilus microps",0,1,0,0
"1789","Caulolatilus princeps",0,1,0,1
"1790","Cebidichthys violaceus",0,1,0,1
"1791","Centrarchops chapini",0,1,0,0
"1792","Centrarchus macropterus",0,1,0,0
"1793","Centriscus scutatus",0,1,0,0
"1794","Centroberyx affinis",0,1,0,0
"1795","Centroberyx australis",0,1,0,0
"1796","Centroberyx druzhinini",0,1,0,0
"1797","Centroberyx gerrardi",0,1,0,0
"1798","Centrobranchus andreae",0,1,0,0
"1799","Centrobranchus choerocephalus",0,1,0,0
"1800","Centrobranchus nigroocellatus",0,1,0,0
"1801","Centrochir crocodili",0,1,0,0
"1802","Centrodoras brachiatus",0,1,0,0
"1803","Centrodraco pseudoxenicus",0,1,0,0
"1804","Centrogenys vaigiensis",0,1,0,0
"1805","Centrolabrus exoletus",0,1,0,0
"1806","Centrolophus niger",0,1,0,0
"1807","Centromochlus heckelii",0,1,0,0
"1808","Centromochlus schultzi",0,1,0,0
"1809","Centrophorus atromarginatus",0,1,0,0
"1810","Centrophorus granulosus",0,1,0,0
"1811","Centrophorus moluccensis",0,1,0,0
"1812","Centrophorus squamosus",0,1,0,0
"1813","Centrophorus tessellatus",0,1,0,0
"1814","Centrophryne spinulosa",0,1,0,0
"1815","Centropogon australis",0,1,0,0
"1816","Centropomus armatus",0,1,0,0
"1817","Centropomus ensiferus",0,1,0,0
"1818","Centropomus irae",0,1,0,0
"1819","Centropomus medius",0,1,0,0
"1820","Centropomus mexicanus",0,1,0,0
"1821","Centropomus parallelus",0,1,0,0
"1822","Centropomus pectinatus",0,1,0,0
"1823","Centropomus robalito",0,1,0,0
"1824","Centropomus undecimalis",0,1,0,0
"1825","Centropomus unionensis",0,1,0,0
"1826","Centropomus viridis",0,1,0,0
"1827","Centropristis striata",0,1,0,0
"1828","Centropyge acanthops",0,1,0,0
"1829","Centropyge argi",0,1,0,0
"1830","Centropyge aurantia",0,1,0,0
"1831","Centropyge aurantonotus",0,1,0,0
"1832","Centropyge bicolor",0,1,0,0
"1833","Centropyge bispinosa",0,1,0,0
"1834","Centropyge colini",0,1,0,0
"1835","Centropyge deborae",0,1,0,0
"1836","Centropyge eibli",0,1,0,0
"1837","Centropyge ferrugata",0,1,0,0
"1838","Centropyge fisheri",0,1,0,0
"1839","Centropyge flavipectoralis",0,1,0,0
"1840","Centropyge flavissima",0,1,0,0
"1841","Centropyge heraldi",0,1,0,0
"1842","Centropyge hotumatua",0,1,0,0
"1843","Centropyge interrupta",0,1,0,0
"1844","Centropyge joculator",0,1,0,0
"1845","Centropyge loriculus",0,1,0,0
"1846","Centropyge multicolor",0,1,0,0
"1847","Centropyge multispinis",0,1,0,0
"1848","Centropyge nigriocellus",0,1,0,0
"1849","Centropyge nox",0,1,0,0
"1850","Centropyge potteri",0,1,0,0
"1851","Centropyge resplendens",0,1,0,0
"1852","Centropyge shepardi",0,1,0,0
"1853","Centropyge tibicen",0,1,0,0
"1854","Centropyge venusta",0,1,0,0
"1855","Centropyge vrolikii",0,1,0,0
"1856","Centroscyllium fabricii",0,1,0,0
"1857","Centroscymnus coelolepis",0,1,0,0
"1858","Centroscymnus owstonii",0,1,0,0
"1859","Cephalocassis borneensis",0,1,0,0
"1860","Cephalocassis melanochir",0,1,0,0
"1861","Cephalopholis argus",0,1,0,0
"1862","Cephalopholis aurantia",0,1,0,0
"1863","Cephalopholis boenak",0,1,0,0
"1864","Cephalopholis colonus",0,1,0,0
"1865","Cephalopholis cruentata",0,1,0,0
"1866","Cephalopholis cyanostigma",0,1,0,0
"1867","Cephalopholis formosa",0,1,0,0
"1868","Cephalopholis fulva",0,1,0,0
"1869","Cephalopholis hemistiktos",0,1,0,0
"1870","Cephalopholis igarashiensis",0,1,0,0
"1871","Cephalopholis leopardus",0,1,0,0
"1872","Cephalopholis microprion",0,1,0,0
"1873","Cephalopholis miniata",0,1,0,0
"1874","Cephalopholis nigri",0,1,0,0
"1875","Cephalopholis nigripinnis",0,1,0,0
"1876","Cephalopholis oligosticta",0,1,0,0
"1877","Cephalopholis panamensis",0,1,0,0
"1878","Cephalopholis polleni",0,1,0,0
"1879","Cephalopholis sexmaculata",0,1,0,0
"1880","Cephalopholis sonnerati",0,1,0,0
"1881","Cephalopholis spiloparaea",0,1,0,0
"1882","Cephalopholis taeniops",0,1,0,0
"1883","Cephalopholis urodeta",0,1,0,0
"1884","Cephaloscyllium albipinnum",0,1,0,0
"1885","Cephaloscyllium fasciatum",0,1,0,0
"1886","Cephaloscyllium laticeps",0,1,0,0
"1887","Cephaloscyllium sarawakense",0,1,0,0
"1888","Cephaloscyllium umbratile",0,1,0,0
"1889","Cephaloscyllium ventriosum",0,1,0,0
"1890","Cephalosilurus apurensis",0,1,0,0
"1891","Cepola macrophthalma",0,1,0,0
"1892","Cepola schlegelii",0,1,0,0
"1893","Ceratias holboelli",0,1,0,0
"1894","Ceratias uranoscopus",0,1,0,0
"1895","Ceratobranchia obtusirostris",0,1,0,0
"1896","Ceratoscopelus maderensis",0,1,0,0
"1897","Ceratoscopelus townsendi",0,1,0,1
"1898","Ceratoscopelus warmingii",0,1,0,0
"1899","Cercamia cladara",0,1,0,0
"1900","Cercamia eremia",0,1,0,0
"1901","Cetengraulis edentulus",0,1,0,0
"1902","Cetopsis othonops",0,1,0,0
"1903","Cetopsorhamdia boquillae",0,1,0,0
"1904","Cetopsorhamdia iheringi",0,1,0,0
"1905","Cetopsorhamdia molinae",0,1,0,0
"1906","Cetopsorhamdia nasus",0,1,0,0
"1907","Cetorhinus maximus",0,1,0,0
"1908","Cetoscarus bicolor",0,1,0,0
"1909","Cetoscarus ocellatus",0,1,0,0
"1910","Cetostoma regani",0,1,0,0
"1911","Chaenocephalus aceratus",0,1,0,0
"1912","Chaenogaleus macrostoma",0,1,0,0
"1913","Chaenogobius annularis",0,1,0,0
"1914","Chaenogobius gulosus",0,1,0,0
"1915","Chaenophryne draco",0,1,0,0
"1916","Chaenophryne longiceps",0,1,0,0
"1917","Chaenophryne melanorhabdus",0,1,0,0
"1918","Chaenopsis alepidota",0,1,0,0
"1919","Chaetobranchopsis orbicularis",0,1,0,0
"1920","Chaetobranchus flavescens",0,1,0,0
"1921","Chaetobranchus semifasciatus",0,1,0,0
"1922","Chaetodermis penicilligerus",0,1,0,0
"1923","Chaetodipterus faber",0,1,0,0
"1924","Chaetodipterus zonatus",0,1,0,0
"1925","Chaetodon adiergastos",0,1,0,0
"1926","Chaetodon argentatus",0,1,0,0
"1927","Chaetodon assarius",0,1,0,0
"1928","Chaetodon aureofasciatus",0,1,0,0
"1929","Chaetodon auriga",0,1,0,0
"1930","Chaetodon auripes",0,1,0,0
"1931","Chaetodon austriacus",0,1,0,0
"1932","Chaetodon baronessa",0,1,0,0
"1933","Chaetodon bennetti",0,1,0,0
"1934","Chaetodon burgessi",0,1,0,0
"1935","Chaetodon capistratus",0,1,0,0
"1936","Chaetodon citrinellus",0,1,0,0
"1937","Chaetodon daedalma",0,1,0,0
"1938","Chaetodon decussatus",0,1,0,0
"1939","Chaetodon ephippium",0,1,0,0
"1940","Chaetodon falcula",0,1,0,0
"1941","Chaetodon fasciatus",0,1,0,0
"1942","Chaetodon flavirostris",0,1,0,0
"1943","Chaetodon guttatissimus",0,1,0,0
"1944","Chaetodon hoefleri",0,1,0,0
"1945","Chaetodon humeralis",0,1,0,0
"1946","Chaetodon kleinii",0,1,0,0
"1947","Chaetodon lineolatus",0,1,0,0
"1948","Chaetodon lunula",0,1,0,0
"1949","Chaetodon lunulatus",0,1,0,0
"1950","Chaetodon madagaskariensis",0,1,0,0
"1951","Chaetodon melannotus",0,1,0,0
"1952","Chaetodon mertensii",0,1,0,0
"1953","Chaetodon mesoleucos",0,1,0,0
"1954","Chaetodon meyeri",0,1,0,0
"1955","Chaetodon mitratus",0,1,0,0
"1956","Chaetodon nigropunctatus",0,1,0,0
"1957","Chaetodon nippon",0,1,0,0
"1958","Chaetodon ocellatus",0,1,0,0
"1959","Chaetodon ocellicaudus",0,1,0,0
"1960","Chaetodon octofasciatus",0,1,0,0
"1961","Chaetodon ornatissimus",0,1,0,0
"1962","Chaetodon oxycephalus",0,1,0,0
"1963","Chaetodon paucifasciatus",0,1,0,0
"1964","Chaetodon pelewensis",0,1,0,0
"1965","Chaetodon plebeius",0,1,0,0
"1966","Chaetodon punctatofasciatus",0,1,0,0
"1967","Chaetodon quadrimaculatus",0,1,0,0
"1968","Chaetodon rafflesii",0,1,0,0
"1969","Chaetodon rainfordi",0,1,0,0
"1970","Chaetodon reticulatus",0,1,0,0
"1971","Chaetodon selene",0,1,0,0
"1972","Chaetodon semeion",0,1,0,0
"1973","Chaetodon semilarvatus",0,1,0,0
"1974","Chaetodon speculum",0,1,0,0
"1975","Chaetodon striatus",0,1,0,0
"1976","Chaetodon trichrous",0,1,0,0
"1977","Chaetodon trifascialis",0,1,0,0
"1978","Chaetodon trifasciatus",0,1,0,0
"1979","Chaetodon ulietensis",0,1,0,0
"1980","Chaetodon unimaculatus",0,1,0,0
"1981","Chaetodon vagabundus",0,1,0,0
"1982","Chaetodon wiebeli",0,1,0,0
"1983","Chaetodon xanthocephalus",0,1,0,0
"1984","Chaetodon xanthurus",0,1,0,0
"1985","Chaetodon zanzibarensis",0,1,0,0
