seagrass_yes,seagrass_maybe,found_taxa,species,f_bname,comments,ana_cat,depth_range_shallow,depth_range_deep,tide_pools,littoral_zone,sub_littoral,intertidal,oceanic,estuaries,lagoons,stream,lakes,soft_bottom,hard_bottom,sand,silt,mud,sea_grass_beds,macrophyte,coral_reefs,vegetation,boat_hulls,pilings,crevices,burrows,add_rems,habitats_ref,special_habitat_ref,habitat_vegetation,habitat_substrate,habitat_features,ana_cat_lit,el_nino_north,introduced,source,notes,comment_eelgrass
NA,x,Atherinopsis californiensis,Atherinopsis californiensis,Jack silverside,"Adults inhabit inshore areas, including bays (Ref. 2850).  Form schools (Ref. 2850).  Demersal spawners in nearshore habitats (Ref. 56049).  Oviparous, with planktonic, primarily neustonic larvae (Ref. 36497).  Eggs are attached to one another by spawning substrate via adhesive filaments (Ref. 36497).  Sold fresh (Ref. 2850).",NA,NA,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Feeds mainly on zooplankton (Refs. 104310, 104396) and plant material like green algae and diatoms (Ref. 104310).  Has variable diet but mainly carnivorous (Ref. 104396).",104310,NA,NA,NA,"Bays, inshore",NA,X,NA,Lamb & Edgell 2010,NA,2
x,NA,Artedius fenestralis,Artedius fenestralis,Padded sculpin,Occurs from intertidal areas to 55 m depth (Ref. 2850).  Feeds on shrimps and small fishes (Ref. 4925).,NA,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feeds on shrimps and fish (Ref. 4925).34,NA,NA,Eelgrass,NA,NA,NA,NA,NA,Mecklenberg 2002 Fishes of Alaska,NA,NA
NA,x,Oligocottus snyderi,Oligocottus snyderi,Fluffy sculpin,"A resident intertidal species with homing behavior (Ref. 32612) found in shallow rocky areas (Ref. 2850).  Commonly found in tide pools, often in algae (Ref. 2850).  Can leave tide pools when aquatic conditions become inhospitable (Ref. 31184).  Breathes air when out of water (Ref. 31184).",non-migratory,0,NA,-1,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,"A resident intertidal species with homing behavior (Ref. 32612) found in shallow rocky areas (Ref. 2850).  Commonly found in tide pools, often in algae (Ref. 2850).  Can leave tide pools when aquatic conditions become inhospitable (Ref. 31184).  Breathes air when out of water (Ref. 31184).",NA,NA,Algae,Exposed rocky bottoms,tidepools,NA,NA,NA,Lamb & Edgell 2011,Intolerant of high temperatures and lower salinities,2
NA,x,Cebidichthys violaceus,Cebidichthys violaceus,Monkeyface prickleback,"Common inshore, in tide pools or shallow rocky areas, from the intertidal zone to 24 m depth.  May remain out of water under rocks or seaweed (Ref. 31184).  Feeds mainly on crustaceans and algae.  Breathes air (Ref. 31184) and can remain out of water for 15-35 hours if kept moist (Ref. 51276).  Demersal spawners in nearshore habitats (Ref. 56049).  Oviparous (Ref. 205).  Commonly caught by 'poke-poling', a method using a long bamboo pole with a very short wire leader and baited hook.  Good eating.",non-migratory,0,24,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,"Common inshore, in tide pools or shallow rocky areas, from the intertidal zone to 24 m depth.  May remain out of water under rocks or seaweed (Ref. 31184).  Feeds mainly on crustaceans and algae.  Breathes air (Ref. 31184) and can remain out of water for 15-35 hours if kept moist (Ref. 51276).  At somewhere between 5 and 8 cm TL, they shift their diets and feed absolutely on algae, preferring reds and greens (Ref. 43439).  Predation by early juvenile fishes on water-column planktors was greatest following initial intertidal settlement and habitat establishment (Ref. 41810).  Greater dependence on substrate-oriented and/or benthic prey was exhibited as the fish grew in size (Ref. 41810).",31184,NA,NA,Shallow rocky areas,"Inshore, tidepools",NA,NA,NA,NA,NA,2
NA,x,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,Cabezon,"Inhabits rocky, sandy and muddy bottoms as well as kelp beds (Ref. 4925).  Adults and juveniles feed on crustaceans, fishes and mollusks (Ref. 6885).  Commonly captured by sport fishers (from shore, boats or piers) and by scuba divers (Ref. 2850).  Flesh is good eating but eggs are poisonous and will make humans violently ill (Ref. 13513).",NA,0,200,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,"Feeds on fish, zoobenthos and zooplankton (Ref. 6885).",4925,NA,Kelp beds,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Salmo salar,Salmo salar,Atlantic salmon,"Amphihaline species, spending most of its life in freshwater (Ref. 51442). Occurs in lakes and rocky runs and pools of small to large rivers (Ref. 86798).  Some landlocked populations exist. Found in all rivers where temperature rises above 10° C for about 3 months per year and does not exceed 20° C for more than a few weeks in summer (Ref. 59043) (preferred temperatures 4-12°C). Juveniles may live in cold lakes in northern Europe (Ref. 59043). Parr (i.e. juveniles) are territorial and are found in the upper reaches of rivers and streams, in riffle areas with strong current and rough gravel bottoms (Ref. 7471). During winter, parr seek refuge in small spaces or under stones during the day (Refs. 59043, 89461). Young remain in freshwater for 1 to 6 years, then migrate to coastal marine waters or even to open oceans where they remain for 1 to 4 years before returning to freshwater  for spawning (Ref. 51442). Adults inhabit cooler waters with strong to moderate flow (Ref. 44894). The Atlantic salmon is reported to live up to 10 years, but most individuals only reach 4-6 years (Ref. 88187). Juveniles feed mainly on aquatic insects, mollusks, crustaceans and fish; adults at sea feed on squids, shrimps, and fish (Ref. 51442). Most populations depend mostly or exclusively on stocking due to degradations of environmental conditions.  Fishing pressure on wild stocks has decreased due to intensive farming but other problems have increased. Farmed salmons escape in large numbers and move to any river and hybridize with wild stocks (Ref. 59043). This species may hybridize with trout (Salmo trutta) (Ref. 59043). Diseases of the species include furunculosis (Aeromonas salmonicida), corynebacterial kidney disease (Renibacterium salmoninarum), enteric red mouth disease (Yersinia ruckeri), infectious pancreatic necrosis virus, bacterial kidney disease, fin rot and fungus infections (Ref. 5951). Marketed fresh, dried or salted, smoked, and frozen; eaten steamed, fried, broiled, cooked in microwave, and baked (Ref. 9988).",anadromous,0,210,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Juveniles feed mainly on aquatic insects and crustaceans. At sea the Atlantic salmon is pelagic, usually found feeding near the surface (Ref. 59043) preying on fish and crustaceans (Ref. 35387). May make long distance feeding migrations while at sea (e.g. individuals from European rivers may migrate to rich feeding grounds around the Faeroes Islands and in western Greenland (Ref. 58137)). Adults do not feed in freshwater during the spawning and post-spawning migrations  (Refs. 30578, 51442, 59043). Preyed upon by American mergansers, kingfishers, harbor seals, grey seals, sharks, pollock and tuna.",173,NA,NA,NA,Rivers,NA,NA,"Mostly escapees, introductions in BC haven’t been particularly successful",Lamb & Edgell 2010,NA,NA
NA,x,Enophrys bison,Enophrys bison,Buffalo sculpin,"Commonly found in inshore rocky and sandy areas (Ref. 2850).  Feeds mainly on algae (Ref. 2850) but also shrimps, crabs, amphipods, mussels, and small fishes (Ref. 4925).",NA,NA,20,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Feeds on fish and benthic invertebrates (Ref. 4925).,4925,NA,NA,"Rocky, sandy areas",Inshore,NA,NA,NA,Eschmeyer,Feeds heavily on algae,2
NA,x,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,Pink salmon,"An anadromous species which inhabits ocean and coastal streams (Ref. 5723, 86798).  Epipelagic (Ref. 58426). Pelagic at the sea.  In freshwater, lives in Montane and Piedmont rivers with moderate to fast current and gravel bottom. Spawns in riffles or at head of riffles in shallow water with current up to 1.5 m/s, and clean coarse gravel (Ref. 59043).  Spends 18 months at sea after which spawning migration to the natal river or stream occurs; but because the species is less certain of its homing and there is a certain degree of wandering, streams as much as 640 km from natal streams may be used (Ref. 1998, 27547).  Upon emerging from the gravel, fry immediately move downstream and remain inshore for a few months before going out to sea.  Fry may feed on nymphal and larval insects while in fresh water, but may not feed at all.  In the sea, young feed on copepods and larvacean tunicates, its diet shifting to amphipods, euphausiids and fishes as the fish grows (Ref. 27547).  Other food include ostracods, decapod larvae, cirripeds, tunicates, dipterous insects (Ref. 1998, 27547).  Fry may be preyed upon by birds and mammals while adults by marine mammals and large fish (Ref. 1998).  Mostly sold canned (Ref. 1998) but also utilized fresh, smoked, and frozen; also valued for caviar, especially in Japan; eaten steamed, fried, broiled, boiled, microwaved, and baked (Ref. 9988).  The smallest of the true salmon (Ref. 12218).",anadromous,0,250,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Anadromous (Ref. 5951).  The young migrate seaward (Ref. 9043). Epipelagic (Ref. 58426).  Spends 18 months at sea after which spawning migration to the natal river or stream occurs; but because the species is less certain of its homing and there is a certain degree of wandering, streams as much as 640 km from natal streams may be used (Ref. 1998, 27547).  Upon emerging from the gravel, fry immediately move downstream and remain inshore for a few months before going out to sea (Ref. 27547).  Fry may feed on nymphal and larval insects while in fresh water, but may not feed at all.  In the sea, young feed on copepods and larvacean tunicates, its diet shifting to amphipods, euphausiids and fishes as the fish grows (Ref. 27547).  Other food include ostracods, decapod larvae, cirripeds, tunicates, dipterous insects and planktonic organisms (Ref. 1998, 13434, 27547).  Fry may be preyed upon by birds and mammals while adults by marine mammals and large fish (Ref. 1998).",5723,NA,NA,NA,Shorelines April -June,NA,NA,NA,Lamb & Edgell 2010,"Most abundant salmon in bc, most reports in CA are strays, found in Beaufort sea in 1993,  year with unusually high air temps (babaluk et al 2000)",NA
NA,NA,Merluccius productus,Merluccius productus,North Pacific hake,"Inhabit oceanic and coastal areas, but mainly on the continental shelf (Ref. 1371).  Although often classified as demersal, the distribution and behavior suggest a largely pelagic existence (Ref. 1371).  Adults live in large schools in waters overlying the continental shelf and slope except during the spawning season when they are found several hundred miles seaward (Ref. 1371).  A nocturnal feeder (Ref. 6885) that  feed on a variety of fishes and invertebrates (Ref. 1371).  Important prey for sea lions and small cetaceans (Ref. 2850); also prey of dogfish (Ref. 11384).",NA,0,1000,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         ,4587,NA,NA,NA,"Moderate depths, pelagic",Nocturnal migration,NA,NA,Hart,NA,NA
NA,x,Ammodytes personatus,Ammodytes personatus,Pacific sandlance,"Found in sand bottoms and may enter semi-enclosed sea areas (Ref. 11230).  Forms large schools.  Important food fish in Japan (marketed fresh or dried) and marketed fresh but mainly used for meal and oil manufacture in Europe (Ref. 10384).  Common size taken from picture in Ref. 559.  Maximum size estimated as 1.5 * common size.  Two genetically different lineages were found in Japan Sea/East Sea, perhaps representing two different species (J.K. Kim, oral.comm, FishBoL2012, June 2012).",oceanodromous,0,172,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,Buried in soft sediment,NA,NA,NA,NA,Lamb & Edgell 2010,NA,2
NA,x,Hippoglossus stenolepis,Hippoglossus stenolepis,Pacific halibut,"Found on various types of bottoms (Ref. 2850).  Young are found near shore, moving out to deeper waters as they grow older (Ref. 6885).  Older individuals typically move from deeper water along the edge of the continental shelf where they spend the winter, to shallow coastal water (27-274 m) for the summer (Ref. 28499).  Feed on fishes, crabs, clams, squids, and other invertebrates (Ref. 6885).  Utilized fresh, dried or salted, smoked and frozen; eaten steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).",oceanodromous,0,1200,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Found on various types of bottoms (Ref. 2850).  Young are found near shore, moving out to deeper waters as they grow older (Ref. 6885).  Older individuals typically move from deeper water along the edge of the continental shelf where they spend the winter, to shallow coastal water (27-274 m) for the summer (Ref. 28499).  Feeds on fishes, cephalopods, crabs, clams, squids, and other invertebrates (Ref. 6885).",NA,NA,NA,"Variety of bottom types, mixed bottom",Young shallower,NA,NA,NA,"Eschmeyer, Lamb & Edgell 2010",NA,NA
NA,x,Auxis rochei,Auxis rochei,Bullet tuna,"Adults are principally caught in coastal waters and around islands (Ref. 9340).  Form schools.  Feed on small fishes, particularly anchovies, crustaceans (especially crab and stomatopod larvae) and squids.  Eggs and larvae are pelagic (Ref. 6769).  Because of their abundance, they are considered an important element of the food web, particularly as forage for other species of commercial interest.  Also caught with encircling nets and troll lines (Ref. 9340).  Marketed fresh and frozen (Ref. 9340) and also dried or salted, smoked and canned (Ref. 9987).",oceanodromous,10,NA,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A schooling species, usually confined to oceanic salinities and with an optimum temperature between 27 and 27°C. Its larvae has the widest temperature tolerance among the tuna species studied, at least between 21.6 and 30.5°C.       ",168,NA,NA,NA,"Epipelagic, adults inshore near islands",NA,NA,NA,Eschmeyer,NA,NA
NA,x,Microgadus proximus,Microgadus proximus,Pacific tomcod,"Generally found over sand (Ref. 1371).  May enter brackish water (Ref. 1371).  Young move into shallow waters in summer and fall, whereas adults usually stay in deeper waters (Ref. 28499).  Feeds on shrimps, amphipods, isopods, gastropods, mussels and fishes (Ref. 1371).  An important prey species (Ref. 2850).",oceanodromous,0,275,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,         ,6546,NA,NA,NA,Shallow bays,NA,NA,NA,"Hart, Lamb & Edgell 2010","Distributed across whole BC coast, usually deep with small individuals off beaches. Juveniles in shallow bays, attracted to lights after dark",NA
NA,x,Clinocottus globiceps,Clinocottus globiceps,Mosshead sculpin,"A resident intertidal species with homing behavior (Ref. 32612).  Commonly found in tide pools and shallow rocky areas, often in strong surf (Ref. 2850).  Can leave tide pools if aquatic conditions become inhospitable (Ref. 31184).  Sometimes encountered resting on rocks out of water, but usually found under rocks or among seaweeds (Ref. 2850).  Breathes air when out of water (Ref. 31184).",non-migratory,0,NA,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,41832,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
NA,x,Sebastes entomelas,Sebastes entomelas,Widow rockfish,"A generally active and free-swimming rockfish found in midwater above a rocky reef or steep shoreline; occasionally huddling motionless among caves and crevices (Ref. 27436).  Young are found in shallow water (Ref. 2850).  Form schools (Ref. 2850).  Feed mostly on small pelagic crustaceans and fishes (Ref. 2850).  Viviparous (Ref. 34817).  Marketed fresh and frozen; eaten pan-fried, boiled, microwaved and baked (Ref. 9988).",NA,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Also feeds on planktonic crustaceans (Ref. 2850).,NA,NA,NA,Rocky reef,"Steep shoreline, juveniles shallow, tidal currents",NA,NA,NA,"Eschmeyer, Lamb & Edgell 2010, Hart",NA,NA
NA,x,Liparis florae,Liparis florae,Tidepool snailfish,"Occurs inshore, in tide pools on exposed coasts (Ref. 2850).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inshore, tidepools, exposed coast",NA,NA,NA,Eschmeyer,NA,2
NA,x,Anoplopoma fimbria,Anoplopoma fimbria,Sablefish,"Adults found on mud bottoms, from 305 (Ref. 2850) to 2,740 m depth (Ref. 2850).  Young-of-the-year juveniles are pelagic and found on the surface and near-shore waters (Ref. 28499).  Generally localized, but some juveniles have been found to migrate over 2,000 miles in 6 or 7 years (Ref. 28499).  Feed on crustaceans, worms and small fishes (Ref. 4925).  Most of the catch is marketed in Japan (Ref. 28499).  Utilized fresh, dried or salted and smoked (Ref. 9988), can be steamed, pan-fried, broiled, boiled, microwaved and baked (Ref. 9988).  The liver oil is rich in vitamin A and D (Ref. 4925).  Reported to reach 57 kg in Ref. 2850.",oceanodromous,175,2740,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,"Adults found on mud bottoms, from 305 (Ref. 2850) to 2,740 m depth (Ref. 2850).  Young-of-the-year juveniles are pelagic and found on the surface and near-shore waters (Ref. 28499).  Generally localized, but some juveniles have been found to migrate over 2,000 miles in 6 or 7 years (Ref. 28499).  Feed on crustaceans, worms and small fishes (Ref. 4925).  Is an omnivorous predatory fish of the continental slope of the northern Pacific. Its food includes planktonic, benthic, nectobenthic and nectonic organisms (Ref. 42024).",2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
x,x,Apodichthys flavidus,Apodichthys flavidus,Penpoint gunnel,"Found in intertidal areas, especially in tide pools (Ref. 2850).  May remain out of the water under rocks or seaweeds (Ref. 31184).  Feeds on small crustaceans and mollusks (Ref. 6885).  Pairs are found coiled around egg masses (Ref. 4925).  Breathes air when out of water (Ref. 31184).",NA,0,8,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6885,NA,"Sea lettuce, eelgrass, red algae",Rocks,Low tide,NA,NA,NA,Lamb & Edgell 2010,NA,2
x,x,Pholis laeta,Pholis laeta,Crescent gunnel,"Frequently in intertidal areas, in tide pools or under rocks protected by seaweeds (Ref. 2850).  May remain out of water under rocks or seaweed (Ref. 31184).  Probably feeds on small crustaceans and marine worms (Ref. 28499).  Breathes air when out of water (Ref. 31184).",NA,0,73,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,"Frequently in intertidal areas, in tidepools or under rocks protected by seaweeds (Ref. 2850). May remain out of water under rocks or seaweed (Ref. 31184). Probably feeds on small crustaceans and marine worms. Breathes air when out of water.",2850,NA,Eelgrass,NA,NA,NA,NA,NA,Lamb & Edgell 2010,NA,2
NA,x,Hemilepidotus hemilepidotus,Hemilepidotus hemilepidotus,Red Irish lord,"Usually near shore in rocky areas (Ref. 2850), from intertidal areas to 275 m depth (Ref. 6793).  Adults feed on crabs, barnacles, and mussels (Ref. 6885).  Good eating (Ref. 2850).",NA,0,450,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,NA,2850,NA,Encrusting seaweed,NA,Juveniles in tidepools,NA,NA,NA,NA,NA,NA
NA,x,Ronquilus jordani,Ronquilus jordani,Northern ronquil,Usually among rocks (Ref. 2850).,NA,3,275,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6885,NA,NA,"Rocks, silty sandy, shelters including jars and tires",bottom,NA,NA,NA,"Eschmeyer, Lamb & Edgell 2010, Hart, Mecklenburg fishes of Alaska",Shallowest at northern part of range,NA
NA,x,Lumpenus sagitta,Lumpenus sagitta,Snake prickleback,"Found in shallow bays and offshore waters (Ref. 2850); on sand mixed with silt, pebbles, and stones to depths of 425; usually shallower than 200 meters (Ref. 51666).  Sometimes takes hooks using marine worms as bait (Ref. 6885).",NA,0,425,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juveniles feed almost entirely on copepods (Ref. 6885).,6885,NA,NA,"Sandy, muddy bottoms","Shallow, offshore",NA,NA,NA,"Eschmeyer, Lamb & Edgell 2010",NA,NA
NA,NA,Artedius harringtoni,Artedius harringtoni,Scalyhead sculpin,"Found in intertidal and subtidal rocky areas, around pilings (Ref. 2850).  Males are territorial (Ref. 6885).  Sexual dimorphism is remarkable (Ref. 74407).  Males guard eggs (Ref. 74407).",NA,1,21,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,Tends to forage in places with high degree of cover; exhibits ambush and stalking to quickly overtake prey.,32760,NA,NA,"Rocks, shallow reefs",NA,NA,NA,NA,Lamb & Edgell 2010,NA,NA
NA,x,Gadus macrocephalus,Gadus macrocephalus,Pacific cod,"Found mainly along the continental shelf and upper slopes (Ref. 1371).  Form schools (Ref. 9988).  They appear to be indiscriminate predators upon dominant food organisms present (Ref. 1371).  Young probably feed on copepods and similar organisms (Ref. 27547).  Adults feed on fishes, octopi, and large benthic and benthopelagic crustaceans (Ref. 1371); also worms. Parasites of the species include sealworm (<i>Phocanema decipiens</i>) in flesh, copepod (<i>Lernaeocera branchialis</i>) on gills and cestode (<i>Pyramicocephalus phocarum</i>) in the intestine (Ref. 5951).  Marketed fresh and frozen for human consumption (Ref. 2850), and also dried or salted and smoked (Ref. 9988).  Eaten steamed, fried, broiled, boiled, micro-waved and baked (Ref. 9988).  Used in Chinese medicine (Ref. 12166).  Minimum depth from Ref. 054440.",oceanodromous,10,1280,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Found mainly along the continental shelf and upper slopes (Ref. 1371). A carnivore (Ref. 9137).,6880,NA,NA,NA,Shallower in spring deeper in fall,NA,NA,NA,Eschmeyer,NA,NA
NA,x,Gadus macrocephalus,Gadus macrocephalus,Pacific cod,"Found mainly along the continental shelf and upper slopes (Ref. 1371).  Form schools (Ref. 9988).  They appear to be indiscriminate predators upon dominant food organisms present (Ref. 1371).  Young probably feed on copepods and similar organisms (Ref. 27547).  Adults feed on fishes, octopi, and large benthic and benthopelagic crustaceans (Ref. 1371); also worms. Parasites of the species include sealworm (<i>Phocanema decipiens</i>) in flesh, copepod (<i>Lernaeocera branchialis</i>) on gills and cestode (<i>Pyramicocephalus phocarum</i>) in the intestine (Ref. 5951).  Marketed fresh and frozen for human consumption (Ref. 2850), and also dried or salted and smoked (Ref. 9988).  Eaten steamed, fried, broiled, boiled, micro-waved and baked (Ref. 9988).  Used in Chinese medicine (Ref. 12166).  Minimum depth from Ref. 054440.",oceanodromous,10,1280,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Non-schooling (Ref. 28073). Lives close to the coast and is rarely found offshore, in deeper water (Ref. 1371). Benthic (Ref. 58426). Feeds on fishes, shrimps, crabs, euphausiids, squids, polychaetes, and echinoderms. There is probably competition between this species and Gadus morhua (Ref. 1371). Parasites of the species include sealworm (Phocanema decipiens) in flesh, copepod (Lernaeocera branchialis) on gills and cestode (Pyramicocephalus phocarum) in the intestine (Ref. 5951).",28073,NA,NA,NA,Shallower in spring deeper in fall,NA,NA,NA,Eschmeyer,NA,NA
NA,x,Citharichthys stigmaeus,Citharichthys stigmaeus,Speckled sanddab,"Found on sandy bottom, from near shore to 366 m (Ref. 2850).  Little commercial importance because of its small size (Ref. 2850).",NA,NA,549,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4930,NA,NA,Sand bottom,Near shore,NA,NA,NA,"Eschmeyer, Lamb & Edgell 2010, Hart",NA,2
NA,NA,Rhinogobiops nicholsii,Rhinogobiops nicholsii,Blackeye goby,Found usually in sandy areas near rocks.  Occurs from intertidal areas to 106 m depth.  Retreats to rocks or holes when approached.  Young are found usually offshore among plankton.  Oviparous (Ref. 56079).  A protogynous hermaphrodite (Ref. 34256).  Forms permanent harem groups composed of a single male  and several smaller females (Ref. 55367).  Eggs are guarded by the male (Ref. 56079).,NA,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"Rocks, cover, caves","Tidepools, surface",Low salinity,NA,NA,Hart,NA,NA
NA,x,Oncorhynchus kisutch,Oncorhynchus kisutch,Coho salmon,"The fish occur in the ocean or in lakes; adults return to the rivers where they were born (Ref. 27547).  The young fish emerge in springtime and they usually live in fresh water for 1-2 years (sometimes up to 4 years, Ref. 27547); later they migrate at night to freshwater lakes or to the sea (Ref. 1998).  Epipelagic (Ref. 58426).  The fish that stay more than two years in fresh water and become sexually ripe without ever going to sea, are called residuals; they never spawn (Ref. 27547). Young fish in lakes and rivers eat mainly insects; they stay almost entirely in deep parts of the river and soon become strongly territorial (Ref. 27547). Upon reaching the sea, the smolts remain close to the coast for a certain time, eating planktonic crustaceans (Ref. 27547). As they grow, they migrate farther out into the sea and hunt larger organisms (Ref. 27547) such as jellyfish, squids and fishes (Ref. 58426).  They are hunted by various fishes, birds (mergansers, loons and kingfishers), mammals and lampreys (Ref. 1998).  This kind is traded as fresh fish, dried or salted, smoked, canned, preserved and frozen (Ref. 9988).  They are steamed, grilled, broiled, cooked in the microwave and baked (Ref. 9988).",anadromous,0,250,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"The fish occur in the ocean or in lakes; adults return to the rivers where they were born (Ref. 27547).  The young fish emerge in springtime and they usually live in fresh water for 1-2 years (sometimes up to 4 years, Ref. 27547); later they migrate at night to freshwater lakes or to the sea (Ref. 1998).  Epipelagic (Ref. 58426).  The fish that stay more than two years in fresh water and become sexually ripe without ever going to sea, are called residuals; they never spawn (Ref. 27547). Young fish in lakes and rivers eat mainly insects; they stay almost entirely in deep parts of the river and soon become strongly territorial (Ref. 27547). Upon reaching the sea, the smolts remain close to the coast for a certain time, eating planktonic crustaceans (Ref. 27547). As they grow, they migrate farther out into the sea and hunt larger organisms (Ref. 27547) such as jellyfish, squids and fishes (Ref. 58426).  They are hunted by various fishes, birds (mergansers, loons and kingfishers), mammals and lampreys (Ref. 1998).",52559,NA,NA,NA,"Shallow water near shore, around jetties and piers",NA,NA,NA,Lamb & Edgell 2010,NA,NA
NA,NA,Sebastes paucispinis,Sebastes paucispinis,Bocaccio rockfish,"Adults found over rocky reefs, but also common on open bottoms to about 320 m (Ref. 2850).  Juveniles are pelagic and settle in near shore nursery areas, then move to deeper habitats (Ref. 36715).  Young form schools (Ref. 2850).  Feed mainly on fishes, including other rockfishes (Ref. 2850).  Ovoviviparous, with planktonic larvae (Ref. 36715, 6885, 34817). Validated age by radiometry is 37 yrs (Ref. 75794).  A famous sport fish throughout its range (Ref. 2850).  Flesh is of excellent quality when kept chilled (Ref. 27436).  Sold with other rockfish species (Ref. 27436).",NA,0,476,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2850,NA,Kelp beds,Rocky reefs,Deep offshore juvenile jetties and pilings,NA,NA,NA,"Eschmeyer, Lamb & Edgell 2010, Hart",Wide ranging,NA
NA,x,Pleuronichthys coenosus,Pleuronichthys coenosus,C-O sole,Found on flat bottoms and rocky areas (Ref. 2850).  Young are common in shallow water during the summer but adults frequently in deeper water (Ref. 6885).,NA,18,350,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,41744,NA,NA,"Rocky areas, flat bottom",Shallow,NA,NA,NA,"Hart, Lamb & Edgell 2010",NA,NA
NA,x,Liparis greeni,Liparis greeni,Lobefin snailfish,Ranges from tide pools to shallow water near shore (Ref. 43939).,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kelp,NA,"Wharves, pilings",NA,NA,NA,Lamb & Edgell 2010,NA,2
NA,x,Cryptacanthodes giganteus,Cryptacanthodes giganteus,Giant wrymouth,Found on soft bottoms (Ref. 12204).  Probably spends part of its life buried (Ref. 12204).,NA,6,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soft bottoms,"Below 20m, can venture into shallow bays",NA,NA,NA,Lamb & Edgell 2010,Attracted by surface lights,NA
NA,NA,Nectoliparis pelagicus,Nectoliparis pelagicus,Tadpole snailfish,Has been taken from stagnant bottoms (Ref. 6885). Minimum depth from Ref. 006885.,NA,0,3383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pelagic, near surface to 3400m",NA,NA,NA,NA,"Tolerates wide range of depths, believed to live in waters low in O2",NA
